Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.953261,9.987881,9.736886,9.849401,2.766799,8797337
2000-01-04,9.728231,9.780161,9.529166,9.615716,2.701153,8811013
2000-01-05,9.433961,9.555131,9.304136,9.382031,2.635509,9333517
2000-01-06,9.382031,9.382031,9.382031,9.382031,2.635509,0
2000-01-07,9.451271,9.823436,9.442616,9.797471,2.752209,9603132
2000-01-10,9.884021,9.884021,9.624371,9.710921,2.727898,6747710
2000-01-11,9.693611,9.710921,9.217585,9.382031,2.635509,15293569
2000-01-12,9.278170,9.295481,9.139690,9.295481,2.611195,12052290
2000-01-13,9.347411,9.356066,9.096415,9.217585,2.589313,11043549
2000-01-14,9.260860,9.529166,9.191620,9.459926,2.657390,15745712
2000-01-17,9.607061,9.624371,9.131035,9.208930,2.586883,31619384
2000-01-18,9.174310,9.174310,8.689630,8.741560,2.455594,20093136
2000-01-19,8.663665,8.750215,8.542495,8.741560,2.455594,20666919
2000-01-20,8.828110,9.070450,8.793490,8.923315,2.506650,11769910
2000-01-21,8.983900,9.061795,8.594425,8.646355,2.428849,18255137
2000-01-24,8.741560,8.914660,8.655010,8.741560,2.455594,9894501
2000-01-25,8.655010,8.758870,8.603080,8.741560,2.455594,15844637
2000-01-26,8.854075,8.992555,8.741560,8.966590,2.518806,22642896
2000-01-27,9.061795,9.070450,8.871385,8.992555,2.526102,50176740
2000-01-28,9.035830,9.035830,8.680975,8.715595,2.448299,13102872
2000-01-31,8.741560,8.845420,8.611735,8.715595,2.461746,49721466
2000-02-01,9.780161,9.780161,8.680975,8.819455,2.491081,11642759
2000-02-02,8.897350,8.906005,8.698285,8.819455,2.491081,10673286
2000-02-03,8.845420,9.035830,8.741560,8.940625,2.525307,11396777
2000-02-04,9.044485,9.122380,8.923315,9.018520,2.547307,13899128
2000-02-07,9.122380,9.295481,9.061795,9.295481,2.625535,12468731
2000-02-08,9.312791,9.511856,9.191620,9.451271,2.669539,12234462
2000-02-09,9.520511,9.520511,9.139690,9.278170,2.620647,10918965
2000-02-10,9.200275,9.278170,8.966590,9.087760,2.566865,9146146
2000-02-11,9.087760,9.096415,8.525185,8.594425,2.427521,17391741
2000-02-14,8.931970,9.364721,8.611735,9.009865,2.544863,26742175
2000-02-15,9.131035,9.442616,9.044485,9.157000,2.586422,21321476
2000-02-16,9.373376,9.641681,9.226240,9.615716,2.715987,33672600
2000-02-17,9.546476,9.762851,9.529166,9.607061,2.713543,16808772
2000-02-18,9.615716,9.650336,9.364721,9.364721,2.645093,18340717
2000-02-21,9.304136,9.589751,9.260860,9.529166,2.691541,8925338
2000-02-22,9.520511,9.650336,9.295481,9.399341,2.654872,11592996
2000-02-23,9.477236,9.607061,9.304136,9.607061,2.713543,9405260
2000-02-24,9.520511,9.598406,9.304136,9.347411,2.640203,11082867
2000-02-25,9.373376,9.555131,9.304136,9.407996,2.657315,9944867
