Date;VOLATILITY;Index;Volatility;Horizon;Model
2024-07-25 00:00:00;0,011322533;BBVA.MC;STD;10;LSTM
2024-07-26 00:00:00;0,011322533;BBVA.MC;STD;10;LSTM
2024-07-29 00:00:00;0,011322533;BBVA.MC;STD;10;LSTM
2024-07-25 00:00:00;0,018455954;BBVA.MC;STD;10;RANDOM_FOREST
2024-07-26 00:00:00;0,018452399;BBVA.MC;STD;10;RANDOM_FOREST
2024-07-29 00:00:00;0,018223211;BBVA.MC;STD;10;RANDOM_FOREST
2024-07-25 00:00:00;0,013720824;BBVA.MC;EWMA;1;PERCEPTRON
2024-07-26 00:00:00;0,013276839;BBVA.MC;EWMA;1;PERCEPTRON
2024-07-29 00:00:00;0,013121184;BBVA.MC;EWMA;1;PERCEPTRON
2024-07-25 00:00:00;0,013748729;BBVA.MC;EWMA;1;LSTM
2024-07-26 00:00:00;0,01357847;BBVA.MC;EWMA;1;LSTM
2024-07-29 00:00:00;0,013307968;BBVA.MC;EWMA;1;LSTM
2024-07-25 00:00:00;0,01357697;BBVA.MC;EWMA;1;RANDOM_FOREST
2024-07-26 00:00:00;0,013233325;BBVA.MC;EWMA;1;RANDOM_FOREST
2024-07-29 00:00:00;0,013110027;BBVA.MC;EWMA;1;RANDOM_FOREST
2024-07-25 00:00:00;0,016217487;BBVA.MC;EWMA;10;PERCEPTRON
2024-07-26 00:00:00;0,01590436;BBVA.MC;EWMA;10;PERCEPTRON
2024-07-29 00:00:00;0,016193917;BBVA.MC;EWMA;10;PERCEPTRON
2024-07-25 00:00:00;0,016434969;BBVA.MC;EWMA;10;LSTM
2024-07-26 00:00:00;0,016201594;BBVA.MC;EWMA;10;LSTM
2024-07-29 00:00:00;0,01593066;BBVA.MC;EWMA;10;LSTM
2024-07-25 00:00:00;0,013580761;BBVA.MC;EWMA;10;RANDOM_FOREST
2024-07-26 00:00:00;0,014434439;BBVA.MC;EWMA;10;RANDOM_FOREST
2024-07-29 00:00:00;0,016567956;BBVA.MC;EWMA;10;RANDOM_FOREST
2024-07-25 00:00:00;0,012939635;BBVA.MC;GJR_GARCH;1;LSTM
2024-07-26 00:00:00;0,012939635;BBVA.MC;GJR_GARCH;1;LSTM
2024-07-29 00:00:00;0,012939635;BBVA.MC;GJR_GARCH;1;LSTM
2024-07-25 00:00:00;0,01472155;BBVA.MC;GJR_GARCH;1;PERCEPTRON
2024-07-26 00:00:00;0,012921604;BBVA.MC;GJR_GARCH;1;PERCEPTRON
2024-07-29 00:00:00;0,014157838;BBVA.MC;GJR_GARCH;1;PERCEPTRON
2024-07-25 00:00:00;0,014530501;BBVA.MC;GJR_GARCH;1;RANDOM_FOREST
2024-07-26 00:00:00;0,014573615;BBVA.MC;GJR_GARCH;1;RANDOM_FOREST
2024-07-29 00:00:00;0,016132441;BBVA.MC;GJR_GARCH;1;RANDOM_FOREST
2024-07-25 00:00:00;0,014021003;BBVA.MC;GJR_GARCH;10;PERCEPTRON
2024-07-26 00:00:00;0,011810708;BBVA.MC;GJR_GARCH;10;PERCEPTRON
2024-07-29 00:00:00;0,017360775;BBVA.MC;GJR_GARCH;10;PERCEPTRON
2024-07-25 00:00:00;0,018290988;BBVA.MC;GJR_GARCH;10;LSTM
2024-07-26 00:00:00;0,018210451;BBVA.MC;GJR_GARCH;10;LSTM
2024-07-29 00:00:00;0,018129108;BBVA.MC;GJR_GARCH;10;LSTM
2024-07-25 00:00:00;0,015180971;BBVA.MC;GJR_GARCH;10;RANDOM_FOREST
2024-07-26 00:00:00;0,017606793;BBVA.MC;GJR_GARCH;10;RANDOM_FOREST
2024-07-29 00:00:00;0,019853809;BBVA.MC;GJR_GARCH;10;RANDOM_FOREST
