units,dropout_rate,epochs,mse
50,0.2,50,0.0038927808869630097
50,0.2,100,0.0038554355036467315
50,0.2,200,0.004021046799607575
50,0.3,50,0.005340860621072352
50,0.3,100,0.005597616289742291
50,0.3,200,0.005661851214244962
50,0.4,50,0.005303643643856049
50,0.4,100,0.004309222707524896
50,0.4,200,0.005422106105834245
50,0.5,50,0.0045038088457658885
50,0.5,100,0.004889441933482885
50,0.5,200,0.005798516166396439
100,0.2,50,0.0033433427568525078
100,0.2,100,0.16703258086927236
100,0.2,200,0.00301967435516417
100,0.3,50,0.003542290232144296
100,0.3,100,0.003053351561538875
100,0.3,200,0.003296122141182423
100,0.4,50,0.0036576173268258573
100,0.4,100,0.0029912213794887066
100,0.4,200,0.00292607881128788
100,0.5,50,0.003999011707492173
100,0.5,100,0.003482020413503051
100,0.5,200,0.002951414859853685
150,0.2,50,0.002803135314024985
150,0.2,100,0.0564210168318823
150,0.2,200,0.017044696537777782
150,0.3,50,0.0028020017547532917
150,0.3,100,0.0028280555503442883
150,0.3,200,0.002476964914239943
150,0.4,50,0.0031240556156262754
150,0.4,100,0.0032609249697998165
150,0.4,200,0.002864872547797859
150,0.5,50,0.0038764645578339696
150,0.5,100,0.0037800743710249664
150,0.5,200,0.0027129825204610823
200,0.2,50,0.002497299714013934
200,0.2,100,0.0020747050410136582
200,0.2,200,0.002587171597406268
200,0.3,50,0.00224473993293941
200,0.3,100,0.0031006064731627704
200,0.3,200,0.0027381167048588393
200,0.4,50,0.003013545833528042
200,0.4,100,0.00298554974142462
200,0.4,200,0.0024514067801646887
200,0.5,50,0.003005210729315877
200,0.5,100,0.00319561087526381
200,0.5,200,0.002727655810303986
