units,dropout_rate,epochs,mse
50,0.2,50,0.006527733337134123
50,0.2,100,0.023356389626860617
50,0.2,200,0.007184207858517766
50,0.3,50,0.0066829878371208904
50,0.3,100,0.0066907623084262015
50,0.3,200,0.006637204182334244
50,0.4,50,0.007703149504959583
50,0.4,100,0.00728277750313282
50,0.4,200,0.006880979519337416
50,0.5,50,0.008116253232583404
50,0.5,100,0.008623844012618065
50,0.5,200,0.008551703672856093
100,0.2,50,0.006196930748410523
100,0.2,100,0.008333394350484014
100,0.2,200,0.008130351779982448
100,0.3,50,0.006355004501529038
100,0.3,100,0.006403989181853831
100,0.3,200,0.006204322236590088
100,0.4,50,0.006403887853957712
100,0.4,100,0.006684754532761872
100,0.4,200,0.007082973164506257
100,0.5,50,0.007059108233079314
100,0.5,100,0.006770420679822564
100,0.5,200,0.006968190893530846
150,0.2,50,0.006346849538385868
150,0.2,100,0.006033958890475333
150,0.2,200,0.006236063456162811
150,0.3,50,0.006158407009206712
150,0.3,100,0.0065094636054709555
150,0.3,200,0.006118328822776675
150,0.4,50,0.006114943930879235
150,0.4,100,0.006145743862725794
150,0.4,200,0.006252129236236215
150,0.5,50,0.006301588169299066
150,0.5,100,0.006443790229968727
150,0.5,200,0.0064110607141628865
200,0.2,50,0.006240870757028461
200,0.2,100,0.006115244468674064
200,0.2,200,0.006054234923794866
200,0.3,50,0.006029990152455866
200,0.3,100,0.006123766559176147
200,0.3,200,0.006205446785315871
200,0.4,50,0.006109156622551381
200,0.4,100,0.006183671928010881
200,0.4,200,0.006062203692272306
200,0.5,50,0.00670666394289583
200,0.5,100,0.006339964270591736
200,0.5,200,0.006478063529357314
