units,dropout_rate,epochs,mse
50,0.2,50,0.0019351469120010734
50,0.2,100,0.0014920299872756004
50,0.2,200,0.0017791087739169598
50,0.3,50,0.0017681824043393134
50,0.3,100,0.0020486310124397276
50,0.3,200,0.001785936439409852
50,0.4,50,0.002197789330966771
50,0.4,100,0.0017606012523174285
50,0.4,200,0.0018937222310341894
50,0.5,50,0.002255974360741675
50,0.5,100,0.0023455087910406293
50,0.5,200,0.002045439963694662
100,0.2,50,0.0014612423721700907
100,0.2,100,0.0014670207281596958
100,0.2,200,0.001183348463382572
100,0.3,50,0.001953086897265166
100,0.3,100,0.0016209649038501084
100,0.3,200,0.0016430468065664172
100,0.4,50,0.0017561242450028658
100,0.4,100,0.0013108380837365985
100,0.4,200,0.0017591730458661914
100,0.5,50,0.0017931086360476912
100,0.5,100,0.0018206253647804261
100,0.5,200,0.0017343793530017137
150,0.2,50,0.0012434310163371265
150,0.2,100,0.001705511356703937
150,0.2,200,0.025227077957242727
150,0.3,50,0.0014140111161395907
150,0.3,100,0.001506913104094565
150,0.3,200,0.001591793424449861
150,0.4,50,0.0015826328191906214
150,0.4,100,0.0016432112315669656
150,0.4,200,0.0013134917360730469
150,0.5,50,0.0015034359763376414
150,0.5,100,0.001700212003197521
150,0.5,200,0.0016627322183921933
200,0.2,50,0.0012340172077529132
200,0.2,100,0.0011547181173227727
200,0.2,200,0.001205599948298186
200,0.3,50,0.0011026664404198527
200,0.3,100,0.001288064196705818
200,0.3,200,0.0014025699812918902
200,0.4,50,0.0015546243404969573
200,0.4,100,0.0011390584346372633
200,0.4,200,0.001402597757987678
200,0.5,50,0.0015105846803635358
200,0.5,100,0.001671333285048604
200,0.5,200,0.00143759929924272
